user_id,persona,gt_product,gt_category,hit,category_hit,top_rec_pid,top_rec_cat
user_0000,Detail_Reviewer,e0c94afd-eab0-448e-9a94-181580e76933,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
user_0001,Sensitive_Calming,e0c94afd-eab0-448e-9a94-181580e76933,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0002,Sensitive_Calming,e0c94afd-eab0-448e-9a94-181580e76933,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0003,Detail_Reviewer,a4c30d36-90e1-475b-ab1f-63217c0fe46f,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
user_0004,Detail_Reviewer,a4c30d36-90e1-475b-ab1f-63217c0fe46f,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
user_0005,Sensitive_Calming,a4c30d36-90e1-475b-ab1f-63217c0fe46f,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0006,Sensitive_Calming,33ca7f08-be69-4b1c-b92b-0e41e3505b2a,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0007,Sensitive_Calming,33ca7f08-be69-4b1c-b92b-0e41e3505b2a,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0008,Loyal_Repurchase,33ca7f08-be69-4b1c-b92b-0e41e3505b2a,97,0,0,dbbdc7b3-eba9-419b-825d-9cd59e3d3038,101
user_0009,Gift_Buyer,3541d292-5861-42cd-8582-bf2bf2530801,97,0,1,9edbadf6-2b9c-4f55-9a1d-62b2dd12334d,97
user_0010,Loyal_Repurchase,3541d292-5861-42cd-8582-bf2bf2530801,97,0,0,dbbdc7b3-eba9-419b-825d-9cd59e3d3038,101
user_0011,Sensitive_Calming,3541d292-5861-42cd-8582-bf2bf2530801,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0012,Sensitive_Calming,e30b2b7f-6e8f-46db-b77e-2e4e079cd981,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0013,Anti_Aging,e30b2b7f-6e8f-46db-b77e-2e4e079cd981,97,0,0,de98a302-b47b-41e1-9478-13551f6aad27,99
user_0014,Sensitive_Calming,e30b2b7f-6e8f-46db-b77e-2e4e079cd981,97,0,1,e31df2d3-0e24-40e0-bb8b-3486005895b6,103
user_0015,Loyal_Repurchase,9edbadf6-2b9c-4f55-9a1d-62b2dd12334d,97,0,0,dbbdc7b3-eba9-419b-825d-9cd59e3d3038,101
user_0016,Gift_Buyer,9edbadf6-2b9c-4f55-9a1d-62b2dd12334d,97,1,1,9edbadf6-2b9c-4f55-9a1d-62b2dd12334d,97
user_0017,Detail_Reviewer,9edbadf6-2b9c-4f55-9a1d-62b2dd12334d,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
user_0018,Dry_Winter,0d0e0b1a-d7d8-4118-aed4-84e0959a20af,97,0,0,7d95061d-0d40-4902-a1d4-cc08c0993513,101
user_0019,Detail_Reviewer,0d0e0b1a-d7d8-4118-aed4-84e0959a20af,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
user_0020,Detail_Reviewer,0d0e0b1a-d7d8-4118-aed4-84e0959a20af,97,0,0,6db9a9f9-f43a-41a9-9490-75ce3b09613f,101
