user_id,skin_type,purchased_product,hit,category_hit
user_00000,combination,64217,False,True
user_00001,dry,64217,False,True
user_00002,oily,64217,False,True
user_00003,sensitive,64217,False,True
user_00004,oily,64217,False,True
user_00005,dry,64217,False,True
user_00006,dry,64217,False,True
user_00007,sensitive,64217,False,True
user_00008,oily,64217,False,True
user_00009,dry,64217,False,True
user_00010,dry,27541,False,True
user_00011,sensitive,27541,False,True
user_00012,oily,27541,False,True
user_00013,sensitive,27541,False,True
user_00014,oily,27541,False,True
user_00015,sensitive,27541,False,True
user_00016,dry,27541,False,True
user_00017,combination,27541,False,True
user_00018,oily,27541,False,True
user_00019,dry,27541,False,True
user_00020,dry,19777,False,True
user_00021,oily,19777,False,True
user_00022,oily,19777,False,True
user_00023,dry,19777,False,True
user_00024,dry,19777,False,True
user_00025,dry,19777,False,True
user_00026,dry,19777,False,True
user_00027,dry,19777,False,True
user_00028,dry,19777,False,True
user_00029,oily,19777,False,True
user_00030,dry,60888,False,True
user_00031,combination,60888,False,True
user_00032,sensitive,60888,False,True
user_00033,sensitive,60888,False,True
user_00034,normal,60888,False,True
user_00035,dry,60888,False,True
user_00036,combination,60888,False,True
user_00037,sensitive,60888,False,True
user_00038,sensitive,60888,False,True
user_00039,oily,60888,False,True
user_00040,combination,24772,False,True
user_00041,combination,24772,False,True
user_00042,combination,24772,False,True
user_00043,sensitive,24772,False,True
user_00044,sensitive,24772,False,True
user_00045,dry,24772,False,True
user_00046,sensitive,24772,False,True
user_00047,combination,24772,False,True
user_00048,dry,24772,False,True
user_00049,sensitive,24772,False,True
user_00050,dry,62716,False,True
user_00051,dry,62716,False,True
user_00052,oily,62716,False,True
user_00053,oily,62716,False,True
user_00054,combination,62716,False,True
user_00055,combination,62716,False,True
user_00056,sensitive,62716,False,True
user_00057,dry,62716,False,True
user_00058,dry,62716,False,True
user_00059,dry,62716,False,True
user_00060,dry,56301,False,True
user_00061,normal,56301,False,True
user_00062,sensitive,56301,False,True
user_00063,oily,56301,False,True
user_00064,combination,56301,False,True
user_00065,oily,56301,False,True
user_00066,sensitive,56301,False,True
user_00067,normal,56301,False,True
user_00068,normal,56301,False,True
user_00069,normal,56301,False,True
user_00070,dry,61477,False,True
user_00071,dry,61477,False,True
user_00072,combination,61477,False,True
user_00073,dry,61477,False,True
user_00074,combination,61477,False,True
user_00075,sensitive,61477,False,True
user_00076,dry,61477,False,True
user_00077,combination,61477,False,True
user_00078,dry,61477,False,True
user_00079,sensitive,61477,False,True
user_00080,sensitive,57014,False,True
user_00081,oily,57014,False,True
user_00082,oily,57014,False,True
user_00083,combination,57014,False,True
user_00084,oily,57014,False,True
user_00085,oily,57014,False,True
user_00086,oily,57014,False,True
user_00087,oily,57014,False,True
user_00088,oily,57014,False,True
user_00089,dry,57014,False,True
user_00090,dry,59009,False,True
user_00091,normal,59009,False,True
user_00092,combination,59009,False,True
user_00093,sensitive,59009,False,True
user_00094,dry,59009,False,True
user_00095,combination,59009,False,True
user_00096,dry,59009,False,True
user_00097,dry,59009,False,True
user_00098,dry,59009,False,True
user_00099,dry,59009,False,True
user_00100,combination,32260,False,True
user_00101,oily,32260,False,True
user_00102,combination,32260,False,True
user_00103,oily,32260,False,True
user_00104,sensitive,32260,False,True
user_00105,combination,32260,False,True
user_00106,sensitive,32260,False,True
user_00107,dry,32260,False,True
user_00108,sensitive,32260,False,True
user_00109,sensitive,32260,False,True
user_00110,combination,24196,False,True
user_00111,combination,24196,False,True
user_00112,normal,24196,False,True
user_00113,dry,24196,False,True
user_00114,combination,24196,False,True
user_00115,normal,24196,False,True
user_00116,sensitive,24196,False,True
user_00117,normal,24196,False,True
user_00118,combination,24196,False,True
user_00119,normal,24196,False,True
user_00120,sensitive,66135,False,True
user_00121,sensitive,66135,False,True
user_00122,combination,66135,False,True
user_00123,sensitive,66135,False,True
user_00124,sensitive,66135,False,True
user_00125,sensitive,66135,False,True
user_00126,dry,66135,False,True
user_00127,combination,66135,False,True
user_00128,sensitive,66135,False,True
user_00129,oily,66135,False,True
user_00130,dry,62183,False,True
user_00131,oily,62183,False,True
user_00132,dry,62183,False,True
user_00133,sensitive,62183,False,True
user_00134,dry,62183,False,True
user_00135,dry,62183,False,True
user_00136,combination,62183,False,True
user_00137,dry,62183,False,True
user_00138,combination,62183,False,True
user_00139,dry,62183,False,True
user_00140,combination,20214,False,True
user_00141,sensitive,20214,False,True
user_00142,dry,20214,False,True
user_00143,oily,20214,False,True
user_00144,dry,20214,False,True
user_00145,oily,20214,False,True
user_00146,dry,20214,False,True
user_00147,oily,20214,False,True
user_00148,normal,20214,False,True
user_00149,combination,20214,False,True
user_00150,sensitive,62898,False,True
user_00151,sensitive,62898,False,True
user_00152,oily,62898,False,True
user_00153,sensitive,62898,False,True
user_00154,sensitive,62898,False,True
user_00155,sensitive,62898,False,True
user_00156,sensitive,62898,False,True
user_00157,sensitive,62898,False,True
user_00158,sensitive,62898,False,True
user_00159,oily,62898,False,True
user_00160,sensitive,65951,False,True
user_00161,dry,65951,False,True
user_00162,dry,65951,False,True
user_00163,combination,65951,False,True
user_00164,combination,65951,False,True
user_00165,dry,65951,False,True
user_00166,oily,65951,False,True
user_00167,combination,65951,False,True
user_00168,combination,65951,False,True
user_00169,combination,65951,False,True
user_00170,oily,57565,False,True
user_00171,sensitive,57565,False,True
user_00172,sensitive,57565,False,True
user_00173,sensitive,57565,False,True
user_00174,oily,57565,False,True
user_00175,sensitive,57565,False,True
user_00176,sensitive,57565,False,True
user_00177,sensitive,57565,False,True
user_00178,sensitive,57565,False,True
user_00179,oily,57565,False,True
user_00180,oily,61923,False,True
user_00181,oily,61923,False,True
user_00182,oily,61923,False,True
user_00183,dry,61256,False,True
user_00184,dry,61256,False,True
user_00185,sensitive,61256,False,True
user_00186,oily,61256,False,True
user_00187,combination,61256,False,True
user_00188,sensitive,61256,False,True
user_00189,oily,61256,False,True
user_00190,dry,61256,False,True
user_00191,oily,61256,False,True
user_00192,combination,61256,False,True
user_00193,sensitive,57039,False,True
user_00194,oily,57039,False,True
user_00195,oily,57039,False,True
user_00196,oily,57039,False,True
user_00197,dry,57039,False,True
user_00198,oily,57039,False,True
user_00199,sensitive,57039,False,True
user_00200,dry,57039,False,True
user_00201,oily,57039,False,True
user_00202,dry,57039,False,True
user_00203,dry,64385,False,True
user_00204,dry,64385,False,True
user_00205,dry,64385,False,True
user_00206,sensitive,64385,False,True
user_00207,combination,64385,False,True
user_00208,dry,64385,False,True
user_00209,dry,64385,False,True
user_00210,sensitive,64385,False,True
user_00211,sensitive,64385,False,True
user_00212,combination,64385,False,True
user_00213,normal,51319,False,True
user_00214,oily,51319,False,True
user_00215,dry,51319,False,True
user_00216,combination,51319,False,True
user_00217,dry,51319,False,True
user_00218,combination,51319,False,True
user_00219,oily,51319,False,True
user_00220,sensitive,51319,False,True
user_00221,sensitive,51319,False,True
user_00222,dry,51319,False,True
user_00223,dry,17006,False,True
user_00224,combination,17006,False,True
user_00225,dry,17006,False,True
user_00226,combination,17006,False,True
user_00227,combination,17006,False,True
user_00228,combination,17006,False,True
user_00229,sensitive,17006,False,True
user_00230,dry,17006,False,True
user_00231,combination,17006,False,True
user_00232,combination,17006,False,True
user_00233,oily,66337,False,True
user_00234,dry,66337,False,True
user_00235,combination,66337,False,True
user_00236,combination,66337,False,True
user_00237,combination,66337,False,True
user_00238,dry,66337,False,True
user_00239,combination,66337,False,True
user_00240,combination,66337,False,True
user_00241,combination,66337,False,True
user_00242,combination,66337,False,True
user_00243,oily,66948,False,True
user_00244,combination,66948,False,True
user_00245,combination,66948,False,True
user_00246,oily,66948,False,True
user_00247,combination,66948,False,True
user_00248,oily,66948,False,True
user_00249,combination,66948,False,True
user_00250,sensitive,66948,False,True
user_00251,normal,66948,False,True
user_00252,dry,66948,False,True
user_00253,oily,62272,False,False
user_00254,oily,62272,False,False
user_00255,dry,62272,False,False
user_00256,combination,62272,False,False
user_00257,dry,62272,False,False
user_00258,combination,62272,False,False
user_00259,normal,62272,False,False
user_00260,oily,62272,False,False
user_00261,sensitive,62272,False,False
user_00262,sensitive,62272,False,False
user_00263,oily,47513,False,True
user_00264,sensitive,47513,False,True
user_00265,combination,47513,False,True
user_00266,sensitive,47513,False,True
user_00267,oily,47513,False,True
user_00268,dry,47513,False,True
user_00269,oily,47513,False,True
user_00270,oily,47513,False,True
user_00271,oily,47513,False,True
user_00272,oily,47513,False,True
user_00273,sensitive,60774,False,True
user_00274,combination,60774,False,True
user_00275,sensitive,60774,False,True
user_00276,oily,60774,False,True
user_00277,dry,60774,False,True
user_00278,combination,60774,False,True
user_00279,oily,60774,False,True
user_00280,dry,60774,False,True
user_00281,dry,60774,False,True
user_00282,oily,60774,False,True
user_00283,sensitive,61610,False,True
user_00284,sensitive,61610,False,True
user_00285,dry,61610,False,True
user_00286,sensitive,61610,False,True
user_00287,sensitive,61610,False,True
user_00288,sensitive,61610,False,True
user_00289,sensitive,61610,False,True
user_00290,dry,61610,False,True
user_00291,combination,61610,False,True
user_00292,dry,61610,False,True
user_00293,oily,61929,False,True
user_00294,oily,61929,False,True
user_00295,oily,61929,False,True
user_00296,oily,61929,False,True
user_00297,sensitive,61929,False,True
user_00298,combination,61929,False,True
user_00299,combination,61929,False,True
user_00300,combination,61929,False,True
user_00301,sensitive,61929,False,True
user_00302,combination,61424,False,True
user_00303,oily,61424,False,True
user_00304,combination,61424,False,True
user_00305,combination,61424,False,True
user_00306,sensitive,61424,False,True
user_00307,sensitive,61424,False,True
user_00308,sensitive,61424,False,True
user_00309,combination,61424,False,True
user_00310,sensitive,61424,False,True
user_00311,dry,61424,False,True
user_00312,sensitive,64321,False,True
user_00313,sensitive,64321,False,True
user_00314,oily,64321,False,True
user_00315,oily,64321,False,True
user_00316,oily,64321,False,True
user_00317,oily,64321,False,True
user_00318,oily,64321,False,True
user_00319,oily,64321,False,True
user_00320,dry,64321,False,True
user_00321,combination,64321,False,True
user_00322,dry,63101,False,True
user_00323,oily,63101,False,True
user_00324,dry,63101,False,True
user_00325,dry,63101,False,True
user_00326,combination,63101,False,True
user_00327,oily,63101,False,True
user_00328,dry,63101,False,True
user_00329,sensitive,63101,False,True
user_00330,dry,63101,False,True
user_00331,combination,63101,False,True
user_00332,dry,62995,False,True
user_00333,combination,62995,False,True
user_00334,dry,62995,False,True
user_00335,dry,62995,False,True
user_00336,combination,62995,False,True
user_00337,dry,62995,False,True
user_00338,normal,62995,False,True
user_00339,sensitive,62995,False,True
user_00340,dry,62995,False,True
user_00341,combination,62995,False,True
user_00342,combination,60459,False,True
user_00343,oily,60459,False,True
user_00344,dry,60459,False,True
user_00345,normal,60459,False,True
user_00346,combination,60459,False,True
user_00347,sensitive,60459,False,True
user_00348,dry,60459,False,True
user_00349,dry,60459,False,True
user_00350,combination,60459,False,True
user_00351,oily,60459,False,True
user_00352,oily,60389,False,True
user_00353,oily,60389,False,True
user_00354,combination,60389,False,True
user_00355,combination,60389,False,True
user_00356,combination,60389,False,True
user_00357,dry,60389,False,True
user_00358,sensitive,60389,False,True
user_00359,oily,60389,False,True
user_00360,dry,60389,False,True
user_00361,combination,60389,False,True
user_00362,combination,58782,False,True
user_00363,combination,58782,False,True
user_00364,combination,58782,False,True
user_00365,dry,58782,False,True
user_00366,combination,58782,False,True
user_00367,dry,58782,False,True
user_00368,combination,58782,False,True
user_00369,combination,58782,False,True
user_00370,sensitive,58782,False,True
user_00371,sensitive,58782,False,True
user_00372,dry,58670,False,True
user_00373,oily,58670,False,True
user_00374,combination,58670,False,True
user_00375,sensitive,58670,False,True
user_00376,dry,58670,False,True
user_00377,dry,58670,False,True
user_00378,sensitive,58670,False,True
user_00379,sensitive,58670,False,True
user_00380,dry,58670,False,True
user_00381,combination,58670,False,True
user_00382,dry,56292,False,True
user_00383,combination,56292,False,True
user_00384,dry,56292,False,True
user_00385,sensitive,56292,False,True
user_00386,dry,56292,False,True
user_00387,combination,56292,False,True
user_00388,combination,56292,False,True
user_00389,combination,56292,False,True
user_00390,normal,56292,False,True
user_00391,combination,56292,False,True
user_00392,oily,58365,False,True
user_00393,sensitive,58365,False,True
user_00394,sensitive,58365,False,True
user_00395,sensitive,58365,False,True
user_00396,oily,58365,False,True
user_00397,combination,58365,False,True
user_00398,combination,58365,False,True
